INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Siena Heights University,2,30778.0,15625.0,57529.0,0.3862,MI
University of La Verne,2,49470.0,21000.0,65464.0,0.6312,CA
Herzing University-Kenosha,2,13450.0,11756.0,36909.0,0.7222,WI
Rice University,2,64144.0,9716.0,89718.0,0.9464,TX
Grambling State University,1,7683.0,24500.0,41109.0,0.3616,LA
University of Colorado Colorado Springs,1,10149.0,12965.0,54659.0,0.4693,CO
Appalachian State University,1,7579.0,15750.0,51836.0,0.7453,NC
Berea College,2,51658.0,3516.0,43150.0,0.5822,KY
Bakersfield College,1,1430.0,9500.0,37291.0,0.207,CA
University of St Francis,2,38110.0,16500.0,63926.0,0.6682,IL
Truman State University,1,9838.0,16679.0,56280.0,0.6853,MO
Tarleton State University,1,8302.0,13989.0,53040.0,0.4821,TX
Yavapai College,1,2948.0,6762.0,39890.0,0.3353,AZ
University of Maine at Farmington,1,11308.0,16722.0,44433.0,0.5154,ME
Purdue University Fort Wayne,1,9532.0,10556.0,45872.0,0.3627,IN
Missouri Western State University,1,10306.0,11920.0,42647.0,0.3854,MO
Oklahoma State University-Oklahoma City,1,3779.0,8989.0,41307.0,0.1485,OK
Arizona College of Nursing-Tempe,3,26091.0,9500.0,34657.0,0.8889,AZ
Maria College of Albany,2,18740.0,14708.0,55458.0,0.3,NY
San Diego Christian College,2,28012.0,13000.0,49766.0,0.1967,CA
Southern Methodist University,2,67040.0,15311.0,78354.0,0.8427,TX
University of Houston-Downtown,1,7708.0,13750.0,53551.0,0.332,TX
Pueblo Community College,1,5049.0,5750.0,37434.0,0.3068,CO
Albany State University,1,5656.0,12000.0,40674.0,0.3105,GA
Western New Mexico University,1,7856.0,12500.0,39095.0,0.3223,NM
Mid-America College of Funeral Service,2,19000.0,11625.0,44505.0,0.3214,IN
North Carolina Wesleyan University,2,35736.0,19531.0,45873.0,0.4197,NC
University of Scranton,2,53983.0,25500.0,74652.0,0.7979,PA
Shepherd University,1,9056.0,14297.0,49358.0,0.5103,WV
Platt College-Ontario,3,14922.0,15215.0,40669.0,0.582,CA
CUNY Lehman College,1,7410.0,8500.0,58013.0,0.5128,NY
Hanover College,2,44638.0,19500.0,53957.0,0.6713,IN
Ferrum College,2,28520.0,14250.0,44296.0,0.319,VA
James A. Rhodes State College,1,4560.0,7759.0,41855.0,0.4697,OH
Washington State College of Ohio,1,4128.0,6750.0,37988.0,0.3238,OH
Baylor University,2,58100.0,19500.0,65793.0,0.7999,TX
University of Cincinnati-Clermont College,1,6750.0,12000.0,54810.0,0.2374,OH
San Jacinto Community College,1,2490.0,5750.0,43062.0,0.3011,TX
Saint Anselm College,2,48920.0,26987.0,73371.0,0.8003,NH
Austin Peay State University,1,9006.0,13202.0,44301.0,0.4024,TN
Hendrix College,2,38200.0,19500.0,60376.0,0.7235,AR
Universidad del Sagrado Corazon,2,6410.0,11250.0,31754.0,0.5207,PR
University of Alaska Southeast,1,7056.0,10500.0,48475.0,0.2805,AK
Faulkner University,2,23920.0,15000.0,43457.0,0.374,AL
Eastern International College-Jersey City,3,18383.0,18499.0,35008.0,0.3412,NJ
Temple University,1,23011.0,19750.0,63727.0,0.7505,PA
